model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,periods_per_year,fold
rolling_mean_5d,8960,128,0.001229695863990567,0.023477549250086473,0.5060267857142857,0.039355496998481114,0.04244402821150408,2.051927874532786,2.5340195726684858,2.052790471894344,0.14680025880706274,0.08886882923965257,1.6518756921078195,-0.14809345587510883,0.26990991818219084,0.22369563246790514,0.3610491071428571,10.0,84.0,fold_2019_2022_to_2023h2
ridge_finance_only,8960,128,0.0011772326471147217,0.022749092816972467,0.5066964285714286,-0.02491034521215635,0.01042464217301298,-1.2832227876375542,0.7154686170829224,0.5795958231453606,-0.09724714791747582,0.08920008726799607,-1.0902135961515693,-0.2266807975613494,-0.06468613015996315,-0.14818613015996315,0.65234375,10.0,84.0,fold_2019_2022_to_2023h2
ridge_wind_weather_only,8960,128,0.0011755646880103668,0.022739436270250747,0.5025669642857142,0.003358704793110706,-0.003310834421553832,0.24193294819009512,-0.23467944251293496,-0.19011207677165567,-0.15028481902210217,0.07284897537644341,-2.062964073901011,-0.24691228211094043,-0.1412911527955843,-0.22900543850986996,0.6852678571428571,10.0,84.0,fold_2019_2022_to_2023h2
ridge_price_only,8960,128,0.0011769855423090923,0.022742206256008167,0.49464285714285716,-0.023262524741585147,-0.0035153124451888784,-1.699931118575808,-0.2698448944150927,-0.21859934868668288,-0.12091066458021604,0.07012902721534982,-1.7241172362041712,-0.2482361796485712,-0.11317339364604352,-0.18424482221747207,0.5552455357142858,10.0,84.0,fold_2019_2022_to_2023h2
ridge_full,8960,128,0.0011833273624347453,0.022841371622437996,0.49319196428571427,-0.034869897801648,-0.02946829275991205,-2.0560811817955167,-1.857825990323076,-1.5050110632558307,-0.14816324472621412,0.08423463061694922,-1.7589350560575916,-0.2885877602537348,-0.18598684910661195,-0.22577256339232626,0.3108258928571428,10.0,84.0,fold_2019_2022_to_2023h2
country_sector_dummy,8960,128,0.0011797951816638571,0.022798163782549136,0.48470982142857144,-0.03215697852267076,-0.03177171527406621,-1.8998834411422343,-1.8325206647385863,-1.4845114065805978,-0.14875348399654734,0.08686595754102323,-1.7124485610637188,-0.39442323183921696,-0.22567197561378644,-0.22667197561378644,0.0078125,10.0,84.0,fold_2019_2022_to_2023h2
ridge_country_features_only,8960,128,0.0011797951816638571,0.022798163782549136,0.48470982142857144,-0.03215697852267076,-0.03177171527406621,-1.8998834411422343,-1.8325206647385863,-1.4845114065805978,-0.14875348399654734,0.08686595754102323,-1.7124485610637188,-0.39442323183921696,-0.22567197561378644,-0.22667197561378644,0.0078125,10.0,84.0,fold_2019_2022_to_2023h2
elasticnet_full,8960,128,0.0011779226323915457,0.022776375953226843,0.48783482142857143,-0.03470683326289971,-0.03628564304481144,-1.7653386026036608,-1.9397742871945702,-1.5713967710933683,-0.19766093285476183,0.09624357983442158,-2.053757073404997,-0.44839548018667513,-0.2538404691120181,-0.3011976119691609,0.3699776785714286,10.0,84.0,fold_2019_2022_to_2023h2
lagged_return_reversal,8960,128,0.001301836416598695,0.02395773325170873,0.4994419642857143,-0.04011198354508978,-0.042840254896571214,-2.0880284262352076,-2.7417656363139824,-2.221084018094518,-0.24294998017923763,0.08893117864598907,-2.731887554828838,-0.37420605929406264,-0.26570949360645735,-0.37020949360645733,0.81640625,10.0,84.0,fold_2019_2022_to_2023h2
zero_score,8960,128,0.0011756576776824686,0.02274259666687394,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,84.0,fold_2019_2022_to_2023h2
lagged_return_reversal,9100,130,0.0012239163354357018,0.02335219092063475,0.5172527472527473,0.048560312805254885,0.05086708504054849,2.5526570428959316,3.0119265704407128,2.421097875441965,0.08030359824576994,0.08771029802776653,0.9155549582142356,-0.14482964659467149,0.23992223538035823,0.1242793782375011,0.8895604395604395,10.0,84.0,fold_2019_2023_to_2024h2
elasticnet_full,9100,130,0.001104865971506408,0.022473809359550526,0.49934065934065935,0.029485937169043342,0.022840449440054783,1.8389300614758726,1.562773121846818,1.2562147836650306,0.022001715694298513,0.07438125844625444,0.2957964970463125,-0.17288188222970027,0.09483598857450963,0.03405027428879531,0.46758241758241753,10.0,84.0,fold_2019_2023_to_2024h2
ridge_wind_weather_only,9100,130,0.0011045201321475751,0.022473945621846948,0.5106593406593407,0.018544805278055455,0.016728370951339597,1.4450818939521661,1.1442682792835686,0.9198051264256786,0.0054665345554291075,0.0684024441814145,0.07991724010520677,-0.10809480585669276,0.1117458272881641,0.00846011300244981,0.7945054945054945,10.0,84.0,fold_2019_2023_to_2024h2
ridge_finance_only,9100,130,0.0011043903237667075,0.022460884925590265,0.5081318681318682,0.02713111889938746,0.01135931096748642,1.678754922138367,0.7510495877933527,0.6037214118045321,-0.00772902769245248,0.0816815713484146,-0.09462388596179347,-0.12998460861658903,0.06303840952358544,-0.011961590476414553,0.5769230769230769,10.0,84.0,fold_2019_2023_to_2024h2
ridge_price_only,9100,130,0.0011067000791372455,0.02248534161404349,0.5084615384615384,-0.02056214339289475,-0.008129818793067567,-1.6301769186540214,-0.6148273438411482,-0.49422093836757147,-0.13452277484252964,0.07080312580120773,-1.899955310168453,-0.2611582579521477,-0.142404294399153,-0.2081900086848673,0.506043956043956,10.0,84.0,fold_2019_2023_to_2024h2
ridge_full,9100,130,0.0011089772088768606,0.02252374115197357,0.49153846153846154,-0.019090634436796806,-0.02012042608474686,-1.259137832833875,-1.6371883123764113,-1.3160324636377019,-0.12562274943659363,0.06915451568018698,-1.8165516481606279,-0.273032282149034,-0.14527330269949018,-0.1944161598423473,0.378021978021978,10.0,84.0,fold_2019_2023_to_2024h2
rolling_mean_5d,9100,130,0.0011778839492469363,0.023303720695446093,0.48516483516483516,-0.020827283648429187,-0.020412595663183892,-1.1180220314248794,-1.1888653194616379,-0.9556538752915332,-0.08619157701766007,0.08360635562113411,-1.030921350145209,-0.22091486300987537,-0.08339172633685486,-0.13339172633685487,0.3846153846153846,10.0,84.0,fold_2019_2023_to_2024h2
rolling_momentum_21d,9100,130,0.010460812438724855,0.06866666805491811,0.4869230769230769,-0.004315830938992077,-0.030820485399330827,-0.22642332933879084,-1.663572002902231,-1.3372406490248485,-0.08974072788346428,0.0939060885783538,-0.9556433373176435,-0.23570974324459637,-0.11467017410536143,-0.1388844598196471,0.18626373626373624,10.0,84.0,fold_2019_2023_to_2024h2
country_sector_dummy,9100,130,0.0011095464337433913,0.022531650291969938,0.47637362637362635,-0.04514579280054972,-0.053612294523701885,-3.118006861084238,-4.207761162354687,-3.3823539094625064,-0.2161932457081188,0.069224409561344,-3.1230782187681454,-0.39101309629532344,-0.3335847850244696,-0.3345847850244696,0.007692307692307693,10.0,84.0,fold_2019_2023_to_2024h2
ridge_country_features_only,9100,130,0.0011095464337433913,0.022531650291969938,0.47637362637362635,-0.04514579280054972,-0.053612294523701885,-3.118006861084238,-4.207761162354687,-3.3823539094625064,-0.2161932457081188,0.069224409561344,-3.1230782187681454,-0.39101309629532344,-0.3335847850244696,-0.3345847850244696,0.007692307692307693,10.0,84.0,fold_2019_2023_to_2024h2
zero_score,9100,130,0.001105503980812325,0.02248292204011367,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,84.0,fold_2019_2023_to_2024h2
