model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,fold
zero_score,17920,256,0.0018803960343075799,0.029602213887851107,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,50.4,fold_2019_2021_to_2023
rolling_momentum_21d,8960,128,0.012267242944931691,0.07901850165204215,0.5016741071428571,0.053175565276596226,0.05557435117745802,2.805247297537475,3.156171681830528,1.9804820122998206,0.0969681591715768,0.07024632072212282,1.3804019651813368,-0.1065119358493378,0.2694243691220053,0.24626834075321094,0.18090647163120568,0.0,10.0,50.4,fold_2019_2022_to_2023h2
rolling_mean_5d,8960,128,0.0020731615793457606,0.030766311278051833,0.5089285714285714,0.03674749558997418,0.04910445152236159,1.956039584813136,2.9442192979488433,1.847482946958012,-0.05977831923057389,0.06669162801990934,-0.8963391808748223,-0.18712539920888344,-0.09859809544542916,-0.1518179536014575,0.4157801418439716,0.0,10.0,50.4,fold_2019_2022_to_2023h2
ridge_finance_only,8960,128,0.0020183658291121425,0.030199064588539177,0.5174107142857143,-0.00206641857917084,0.03138290652578679,-0.12638574299069757,2.2236073350477326,1.3953025289568004,0.05129917306582331,0.06339870677873108,0.8091517267830627,-0.16812945235283763,0.1994538269013817,0.13028361413542427,0.5403922872340425,0.0,10.0,50.4,fold_2019_2022_to_2023h2
ridge_wind_weather_only,8960,128,0.0020166351283730827,0.030210230655370453,0.49955357142857143,0.013050374288547002,0.008595275345668126,0.9080745361451702,0.6020026610799437,0.37775367179454733,0.07277949115709458,0.058665954611587,1.240574565588336,-0.06601925137803719,0.28897155471170255,0.1848368029386529,0.8135527482269505,0.0,10.0,50.4,fold_2019_2022_to_2023h2
ridge_price_only,8960,128,0.002020630854720966,0.030228905950629808,0.4861607142857143,-0.031485128183524655,-0.027114338565026756,-2.1986109753687777,-1.9128351463278626,-1.200294528211486,-0.10068155587993392,0.06102405938254563,-1.6498665755548099,-0.2525741744453632,-0.15035876400442522,-0.25569918953634013,0.8229720744680852,0.0,10.0,50.4,fold_2019_2022_to_2023h2
ridge_full,8960,128,0.002034270969503126,0.030412659117165536,0.48158482142857145,-0.033149310075596086,-0.02730129482949679,-2.1847256814256486,-1.8425202682787227,-1.156172292410736,0.06461061877077276,0.058725206862084045,1.1002195177023488,-0.16463744472665043,0.2159415242000038,0.16409046037021655,0.4050864361702128,0.0,10.0,50.4,fold_2019_2022_to_2023h2
country_sector_dummy,8960,128,0.0020293092917816422,0.030347228375008722,0.48203125,-0.04110373716091337,-0.04210211402490703,-2.3725559919665407,-2.3954527517877815,-1.5031346721539172,-0.035465985355710085,0.06875580365720532,-0.5158253335606732,-0.2807166008576065,-0.06039149269670378,-0.09007234376053355,0.23188164893617022,0.0,10.0,50.4,fold_2019_2022_to_2023h2
ridge_country_features_only,8960,128,0.0020293092917816422,0.030347228375008722,0.48203125,-0.04110373716091337,-0.04210211402490703,-2.3725559919665407,-2.3954527517877815,-1.5031346721539172,-0.035465985355710085,0.06875580365720532,-0.5158253335606732,-0.2807166008576065,-0.06039149269670378,-0.09007234376053355,0.23188164893617022,0.0,10.0,50.4,fold_2019_2022_to_2023h2
lagged_return_reversal,8960,128,0.0021406577557113076,0.031155719187166524,0.49330357142857145,-0.04290715467358348,-0.04616389096456264,-2.2829435930890005,-2.7764869689839067,-1.742231745856193,-0.07921029534192439,0.0674201334204002,-1.1748759802655138,-0.2681226962597145,-0.08775765652525212,-0.2011690040429826,0.8860261524822695,0.0,10.0,50.4,fold_2019_2022_to_2023h2
