target_time,n_names,gross_return,net_return,turnover,gross_exposure,net_exposure,max_group_net_exposure,long_count,short_count,model,fold
2023-03-15 23:00:00+00:00,70,0.0003972556246095617,0.0002270428586521149,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-16 23:00:00+00:00,70,0.003441024040799233,0.0033559176578205094,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-17 23:00:00+00:00,70,-0.0004266970236307565,-0.0006181863853328842,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-20 23:00:00+00:00,70,0.0011638848592940062,0.0009936720933365593,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-21 23:00:00+00:00,70,0.006741207633066807,0.006549718271364679,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-22 23:00:00+00:00,70,-0.0018196426253989915,-0.002011131987101119,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-23 23:00:00+00:00,70,-0.0027007468365781904,-0.002785853219556914,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-24 23:00:00+00:00,70,-0.005901607017892446,-0.005986713400871169,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-27 23:00:00+00:00,70,-0.003725992385943642,-0.0040025881306244935,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-28 23:00:00+00:00,70,-0.0009374171957518423,-0.00112890655745397,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-29 23:00:00+00:00,70,0.0006320930295199823,0.0003554972848391312,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-30 23:00:00+00:00,70,0.003928412307803135,0.003758199541845688,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-03-31 23:00:00+00:00,70,0.0032101166517036145,0.003125010268724891,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-03 23:00:00+00:00,70,-0.0019973265628232054,-0.002167539328780652,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-04 23:00:00+00:00,70,0.011907572029449975,0.011716082667747848,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-05 23:00:00+00:00,70,0.004916028660453766,0.004745815894496319,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-06 23:00:00+00:00,70,-0.008929370030735857,-0.009099582796693303,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-11 23:00:00+00:00,70,-0.006066515398988484,-0.006258004760690612,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-12 23:00:00+00:00,70,-0.00671463266707371,-0.006821015645797114,0.10638297872340426,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-13 23:00:00+00:00,70,-0.003929372571427672,-0.0041208619331298,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-14 23:00:00+00:00,70,0.0007141571959029047,0.0006290508129241812,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-17 23:00:00+00:00,70,0.0037394262238258764,0.0035692134578684297,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-18 23:00:00+00:00,70,-0.002422554095804175,-0.0025927668617616215,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-19 23:00:00+00:00,70,-0.005735405350156175,-0.005926894711858303,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-20 23:00:00+00:00,70,-0.003582588214935513,-0.0037528009808929595,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-21 23:00:00+00:00,70,0.003895328166650894,0.0037038388049487666,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-24 23:00:00+00:00,70,0.00517144678124551,0.005086340398266787,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-25 23:00:00+00:00,70,0.004926506842996624,0.0048414004600179006,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-26 23:00:00+00:00,70,-0.000980906608513738,-0.0011723959702158657,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-27 23:00:00+00:00,70,-0.004426804014393122,-0.004597016780350569,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-04-28 23:00:00+00:00,70,-0.005450167328531798,-0.005556550307255202,0.10638297872340426,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-01 23:00:00+00:00,70,-0.0030869401171608815,-0.003172046500139605,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-02 23:00:00+00:00,70,-0.006221029496218499,-0.00649762524089935,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-03 23:00:00+00:00,70,0.00048768050825841283,0.00040257412527968945,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-04 23:00:00+00:00,70,0.002105926789788558,0.0020208204068098345,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-05 23:00:00+00:00,70,0.0039437819834170235,0.0036671862387361726,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-08 23:00:00+00:00,70,0.004566381796855773,0.004289786052174922,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-09 23:00:00+00:00,70,-0.0067068803454360705,-0.006898369707138198,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-10 23:00:00+00:00,70,0.0003763734583424187,0.00018488409664029105,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-11 23:00:00+00:00,70,-0.001970237658520281,-0.0020553440414990045,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-12 23:00:00+00:00,70,-0.0026693535584157136,-0.0029459493030965646,0.2765957446808511,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-15 23:00:00+00:00,70,-0.009544463460101751,-0.009714676226059198,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-16 23:00:00+00:00,70,-0.006524627677241979,-0.0066948404431994265,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-17 23:00:00+00:00,70,-0.0074021803767158586,-0.007487286759694582,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-18 23:00:00+00:00,70,-0.008602990563937334,-0.008709373542660739,0.10638297872340426,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-19 23:00:00+00:00,70,-0.007569892298205153,-0.007654998681183876,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-22 23:00:00+00:00,70,-0.00874793436539982,-0.008918147131357267,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-23 23:00:00+00:00,70,-0.0042287365294773095,-0.004420225891179437,0.19148936170212766,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-24 23:00:00+00:00,70,0.00558290366688888,0.005412690900931433,0.1702127659574468,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
2023-05-25 23:00:00+00:00,70,0.007441758727167498,0.007356652344188775,0.0851063829787234,1.0,0.0,0.0,10,10,country_sector_dummy,fold_2019_2021_to_2023
