model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer,horizon_days,portfolio_group
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.015254492107417333,0.09321535033498095,0.16364785469987955,-0.2422078336826302,0.1038837375412273,0.07009802325551298,0.17505551443375272,,5.0,84.0,daily,0.0,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,0.013116279262293216,0.08572262607476426,0.15300836970222606,-0.34739670159325964,0.17320099756244262,0.06027242613387121,0.5851221317542561,,5.0,84.0,buffered,0.1,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,0.01256154830705196,0.08420226265668625,0.14918302561854596,-0.34339945224345847,0.14825901960145307,0.05772330531573877,0.4690969652109548,,5.0,84.0,buffered,0.2,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.010536801541069885,0.06313132262998168,0.1669029112985169,-0.2642941497338832,0.10409768327205932,0.04841911184348781,0.2884900074019245,,5.0,84.0,buffered,0.2,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,0.00299932642885779,0.08717604942153023,0.03440539516025641,-0.3449684980965464,0.1796754762087989,0.013782619065941748,0.8595484826054774,,5.0,84.0,daily,0.0,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,0.0029216255778037417,0.08527608941967303,0.0342607828019108,-0.3468364456155604,0.1476755651551457,0.013425565155145765,0.6955958549222798,,5.0,84.0,buffered,0.05,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.03827016384906581,0.06699252261014729,0.5712602296195525,-0.18407727680698738,0.30321765768737374,0.17586051483023096,0.329940784603997,,10.0,84.0,buffered,0.1,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.03793371193477228,0.0963134482390713,0.3938568562160956,-0.22738090591817636,0.2063858667478822,0.1743144381764536,0.08308660251665433,,10.0,84.0,buffered,0.2,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.03202275519315946,0.09619557136672115,0.3328921980314546,-0.22056576839633468,0.18158075600666132,0.1471521845780899,0.08919319022945965,,10.0,84.0,buffered,0.15,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.031451996262336065,0.06640580134366217,0.4736332613406203,-0.21455652020226362,0.29895798282454433,0.14452941139597286,0.4000740192450037,,10.0,84.0,buffered,0.05,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.02111713193129093,0.06524927864342975,0.3236377837476263,-0.2552778112626348,0.21468110625569403,0.0970382491128369,0.3047742413027387,,10.0,84.0,buffered,0.15,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.020640779214171238,0.0917689861100451,0.22492107725173924,-0.2550564625024813,0.14070643781750114,0.09484929496035832,0.11880088823094002,,10.0,84.0,buffered,0.05,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.020566869407687968,0.09569301986204723,0.2149254923435119,-0.253812136946978,0.13272394751628047,0.09450966180199472,0.09900074019245002,,10.0,84.0,buffered,0.1,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.010857525660845867,0.06861454485219559,0.1582394182492116,-0.24158699574535042,0.25246434410817264,0.049892915536744104,0.5247964470762397,,10.0,84.0,daily,0.0,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.00790216050119973,0.09325598050563412,0.08473623309040554,-0.24581497653977305,0.1038837375412273,0.03631230896979876,0.17505551443375272,,10.0,84.0,daily,0.0,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,-0.0015797787698109272,0.06320335569678977,-0.024995172366950247,-0.2827200367827881,0.10409768327205932,-0.007259459585083547,0.2884900074019245,,10.0,84.0,buffered,0.2,3,none
