model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer,horizon_days,portfolio_group
rolling_mean_5d,27020,386,0.0011860302143162347,0.023386802445519543,0.49293116210214655,-0.012863273939626359,-0.006816162806456609,-1.1946390707660777,-0.6950474582937627,-0.32423541557627117,-0.01421231383218955,0.08564156623255433,-0.1659511199689751,-0.232884780851207,-0.017701823086013868,-0.06530896594315674,0.24666913397483345,,5.0,84.0,buffered,0.15,3,none
ridge_price_only,27020,386,0.0011211060770130172,0.022570919173867984,0.5028867505551443,-0.012542587857663866,-0.003652074901324426,-1.6850166601395498,-0.4839894394545394,-0.2257781323613501,-0.03416602546679278,0.0647563213384528,-0.5276091161544214,-0.33140697582311274,-0.11500102178788119,-0.1570010217878811,0.21761658031088082,,5.0,84.0,buffered,0.1,3,none
ridge_price_only,27020,386,0.0011211060770130172,0.022570919173867984,0.5028867505551443,-0.012542587857663866,-0.003652074901324426,-1.6850166601395498,-0.4839894394545394,-0.2257781323613501,-0.056356237604055774,0.06510443955516364,-0.8656281812595064,-0.39673640395864557,-0.22182747279958953,-0.2589703299424468,0.1924500370096225,,5.0,84.0,buffered,0.15,3,none
elasticnet_full,27020,386,0.0011224591159745766,0.02260651370153706,0.4891931902294597,-0.018193072395399433,-0.013795813868716589,-1.6289519182028378,-1.4215800397646547,-0.6631584497834588,-0.08502454624126263,0.08601548041034564,-0.9884795833917841,-0.7300785289349252,-0.35831517677532576,-0.39070803391818304,0.1678386380458919,,5.0,84.0,buffered,0.1,3,none
elasticnet_full,27020,386,0.0011224591159745766,0.02260651370153706,0.4891931902294597,-0.018193072395399433,-0.013795813868716589,-1.6289519182028378,-1.4215800397646547,-0.6631584497834588,-0.08821122379091897,0.08524977966408322,-1.0347384373133277,-0.7334030607714581,-0.37878014742017546,-0.4053515759916039,0.1376757957068838,,5.0,84.0,buffered,0.15,3,none
ridge_full,27020,386,0.0011278689380497075,0.022686017362325138,0.48645447816432275,-0.030616130681017643,-0.030662154727739515,-3.1196845567974028,-3.730588266133099,-1.740296755825833,-0.11736320729921493,0.07856055443212237,-1.493920303230786,-0.7369348404180198,-0.5197761668749636,-0.5393118811606781,0.10122131754256106,,5.0,84.0,buffered,0.15,3,none
ridge_full,27020,386,0.0011278689380497075,0.022686017362325138,0.48645447816432275,-0.030616130681017643,-0.030662154727739515,-3.1196845567974028,-3.730588266133099,-1.740296755825833,-0.12093494364161564,0.07383912179379987,-1.6378166573992259,-0.7299142968823764,-0.5307248600674243,-0.5557248600674243,0.12953367875647667,,5.0,84.0,buffered,0.1,3,none
country_sector_dummy,27020,386,0.0011262833212058966,0.022659943714260767,0.48019985196151,-0.044479674251397296,-0.04639042830024844,-4.509071262216094,-4.960095497536833,-2.3138544077117142,-0.14409066218135322,0.09683225744413987,-1.4880440256644387,-0.8578661188337463,-0.6614880428809802,-0.6621309000238373,0.003330866025166543,,5.0,84.0,buffered,0.15,3,none
ridge_country_features_only,27020,386,0.0011262833212058966,0.022659943714260767,0.48019985196151,-0.044479674251397296,-0.04639042830024844,-4.509071262216094,-4.960095497536833,-2.3138544077117142,-0.14409066218135322,0.09683225744413987,-1.4880440256644387,-0.8578661188337463,-0.6614880428809802,-0.6621309000238373,0.003330866025166543,,5.0,84.0,buffered,0.15,3,none
country_sector_dummy,27020,386,0.0011262833212058966,0.022659943714260767,0.48019985196151,-0.044479674251397296,-0.04639042830024844,-4.509071262216094,-4.960095497536833,-2.3138544077117142,-0.14843510027608603,0.08816991620988573,-1.6835118672761455,-0.8382358784581322,-0.6812731988877287,-0.6820946274591573,0.0042561065877128055,,5.0,84.0,buffered,0.1,3,none
